"item_code","diamond_no","item_title","item_1","item_2","item_3","item_4","item_5","item_6"
1,"DEC181066D ","SPIDEY GN TP FRESHMAN YEAR",12.99,5.8455,5.85,3,1,"MARVEL COMICS"
26,"FEB190952D ","STAR WARS #64",3.99,1.7955,46.68,1,1,"MARVEL COMICS"
1,"FEB190953D ","STAR WARS #64 CHRISTOPHER ACTION FIGURE VAR",3.99,1.7955,1.80,1,3,"MARVEL COMICS"
1,"FEB190954D ","STAR WARS #64 GRANOV GREATEST MOMENTS VAR",3.99,1.7955,1.80,1,3,"MARVEL COMICS"
5,"FEB190951D ","STAR WARS SOLO ADAPTATION #7 (OF 7)",3.99,1.7955,8.98,1,1,"MARVEL COMICS"
1,"JAN191962E ","STILETTO #1 (OF 3) OFFICER DOWN",5.99,2.9950,3.00,1,3,"LION FORGE"
2,"JAN198540J ","STRANGER THINGS ALIENS RESCUE PROMO FRT CREDIT (NET)",.03,.0350,.07,30,5,""
6,"FEB190535D ","SUICIDE SQUAD BLACK FILES #6 (OF 6)",4.99,2.2455,13.47,1,1,"DC COMICS"
2,"JAN190700D ","TEEN TITANS TP VOL 01 FULL THROTTLE",16.99,7.6455,15.29,3,1,"DC COMICS"
1,"JAN190444D ","TOM CLANCYS DIVISION EXTREMIS MALIS #3",3.99,1.9950,2.00,1,1,"DARK HORSE COMICS"
10,"FEB190796D ","TRUE BELIEVERS AVENGERS NEBULA #1",1.00,.4500,4.50,1,1,"MARVEL COMICS"
10,"FEB190797D ","TRUE BELIEVERS AVENGERS THANOS VS MARVEL UNIVERSE#1",1.00,.4500,4.50,1,1,"MARVEL COMICS"
16,"FEB190912D ","UNCANNY X-MEN #15",3.99,1.7955,28.73,1,1,"MARVEL COMICS"
2,"FEB190913D ","UNCANNY X-MEN #15 SHALVEY CHARACTER VAR",3.99,1.7955,3.59,1,1,"MARVEL COMICS"
2,"FEB190914D ","UNCANNY X-MEN #15 ZIRCHER ASGARDIAN VAR",3.99,1.7955,3.59,1,1,"MARVEL COMICS"
5,"JAN190836E ","UNCLE SCROOGE #43 MAZZARELLO (C: 1-0-0)",3.99,1.9950,9.98,1,1,"IDW PUBLISHING"
1,"DEC181065D ","UNSTOPPABLE WASP GIRL POWER GN TP",12.99,5.8455,5.85,3,1,"MARVEL COMICS"
3,"FEB192122F ","VAN HELSING SWORD OF HEAVEN #6 (OF 6) CVR A CHEN (MR)",3.99,2.1945,6.58,1,1,"ZENESCOPE ENTERTAINMENT INC"
1,"JAN190387D ","VINDICATION #3 (OF 4) (MR)",3.99,1.9950,2.00,1,1,"IMAGE COMICS"
40,"FEB190217D ","WALKING DEAD #190 (MR)",3.99,1.9950,79.80,1,1,"IMAGE COMICS"
25,"JAN190870D ","WAR OF REALMS #1 (OF 6)",5.99,2.6955,67.39,1,1,"MARVEL COMICS"
2,"JAN190881D ","WAR OF REALMS #1 (OF 6) BATTLE LINES VAR",5.99,2.6955,5.39,1,1,"MARVEL COMICS"
5,"JAN190877D ","WAR OF REALMS #1 (OF 6) CAMUNCOLI CONNECTING REALM VAR",5.99,2.6955,13.48,1,1,"MARVEL COMICS"
2,"JAN198216D ","WAR OF REALMS #1 (OF 6) CHRISTOPHER VAR",5.99,2.6955,5.39,1,3,"MARVEL COMICS"
2,"JAN198224D ","WAR OF REALMS #1 (OF 6) COIPEL VAR",5.99,2.6955,5.39,1,3,"MARVEL COMICS"
2,"JAN190874D ","WAR OF REALMS #1 (OF 6) DAUTERMAN CONCEPT VAR",5.99,2.6955,5.39,1,1,"MARVEL COMICS"
5,"JAN190878D ","WAR OF REALMS #1 (OF 6) DAUTERMAN WRAPAROUND VAR",5.99,2.6955,13.48,1,1,"MARVEL COMICS"
3,"JAN190879D ","WAR OF REALMS #1 (OF 6) DELLOTTO VAR",5.99,2.6955,8.09,1,1,"MARVEL COMICS"
2,"JAN198222D ","WAR OF REALMS #1 (OF 6) FRANK CHO VAR",5.99,2.6955,5.39,1,3,"MARVEL COMICS"
2,"JAN198214D ","WAR OF REALMS #1 (OF 6) GRANOV VAR",5.99,2.6955,5.39,1,3,"MARVEL COMICS"
2,"JAN190883D ","WAR OF REALMS #1 (OF 6) HORN VAN VAR",5.99,2.6955,5.39,1,1,"MARVEL COMICS"
2,"JAN190880D ","WAR OF REALMS #1 (OF 6) HUGO THOR VAR",5.99,2.6955,5.39,1,1,"MARVEL COMICS"
2,"JAN190882D ","WAR OF REALMS #1 (OF 6) INTERNATIONAL VAR",5.99,2.6955,5.39,1,1,"MARVEL COMICS"
2,"JAN198217D ","WAR OF REALMS #1 (OF 6) LIM VAR",5.99,2.6955,5.39,1,3,"MARVEL COMICS"
2,"JAN198215D ","WAR OF REALMS #1 (OF 6) PEREZ VAR",5.99,2.6955,5.39,1,3,"MARVEL COMICS"
1,"JAN190873D ","WAR OF REALMS #1 (OF 6) QUESADA VAR",5.99,2.6955,2.70,1,1,"MARVEL COMICS"
1,"JAN190871D ","WAR OF REALMS #1 (OF 6) TAKEDA VAR",5.99,2.6955,2.70,1,1,"MARVEL COMICS"
1,"DEC180197D ","WITCHBLADE TP VOL 02 (MR)",16.99,8.4950,8.50,3,1,"IMAGE COMICS"
1,"JAN190445D ","WITCHER #4 OF FLESH & FLAME",3.99,1.9950,2.00,1,1,"DARK HORSE COMICS"
1,"JAN190642D ","WONDER TWINS #2 (OF 6)",3.99,1.7955,1.80,1,2,"DC COMICS"
6,"FEB190550D ","YOUNG JUSTICE #4",3.99,1.7955,10.77,1,1,"DC COMICS"
3,"FEB190551D ","YOUNG JUSTICE #4 VAR ED",3.99,1.7955,5.39,1,1,"DC COMICS"
1,"JAN190122D ","(USE JAN198546) ASSASSIN NATION #1 (MR)",3.99,1.9950,2.00,1,2,"IMAGE COMICS"
1,"NOV130064V ","AVATAR LAST AIRBENDER TP VOL 07 RIFT PART 1 (C: 0-1-2)",10.99,5.4950,5.50,3,2,"DARK HORSE COMICS"
1,"NOV150073V ","AVATAR LAST AIRBENDER TP VOL 12 SMOKE & SHADOW PART 3 (C: 1-",10.99,5.4950,5.50,3,2,"DARK HORSE COMICS"
1,"JUL180622D ","BATGIRL #27",3.99,1.7955,1.80,1,2,"DC COMICS"
1,"AUG180679X ","BATMAN BLACK & WHITE STATUE BY KLAUS JANSON",80.00,44.0000,44.00,10,2,""
1,"JAN190536D ","BATMAN WHO LAUGHS THE GRIM KNIGHT #1 VAR ED",4.99,2.2455,2.25,1,2,"DC COMICS"
1,"DEC141097E ","CALIBAN TP (MR) (C: 0-1-2)",19.99,2.9950,3.00,3,2,"AVATAR PRESS INC"
