id,console-name,product-name,loose-price,cib-price,new-price,box-only-price,manual-only-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,asin,epid,release-date
16491,3DO,20th Century Video Almanac,$16.37,$120.56,$141.82,$18.24,$15.15,,,$1.34,$6.69,$6.60,$21.99,$17.60,$43.99,24294114410,4,Educational,,56244593,01-01-1993
16492,3DO,3D Atlas Test,$111.51,$116.74,$138.45,$16.60,$14.13,,,$2.40,$11.99,$3.60,$17.99,$16.00,$39.99,14633072303,5,Educational,,56235798,01-01-1994
